"id","initial","page","headword","part_of_speech","gloss","authority","audio_url","source_url"
"2","m","1","mẽewẽjy","sustantivo","gallinazo","Hablante: Gerdel and Slocum, 1983.","","https://talkingdictionary.swarthmore.edu/paez/?initial=m&page=1&lang=es"
"4","t","2","tsalli’ll","sustantivo","gavilán","Hablante: Gerdel and Slocum, 1983.","","https://talkingdictionary.swarthmore.edu/paez/?initial=t&page=2&lang=es"
"5","f","1","finzh","sustantivo","pavo del monte","Hablante: Gerdel and Slocum, 1983.","","https://talkingdictionary.swarthmore.edu/paez/?initial=f&page=1&lang=es"
"6","e","1","e’tscuẽ","sustantivo","colibrí, esmeralda","Hablante: Gerdel and Slocum, 1983.","","https://talkingdictionary.swarthmore.edu/paez/?initial=e&page=1&lang=es"
"7","p","4","pleecu’c","sustantivo","soledad","Hablante: Gerdel and Slocum, 1983.","","https://talkingdictionary.swarthmore.edu/paez/?initial=p&page=4&lang=es"
"9","t","3","tumb","sustantivo","paloma","Hablante: Gerdel and Slocum, 1983.","","https://talkingdictionary.swarthmore.edu/paez/?initial=t&page=3&lang=es"
"10","w","2","well","sustantivo","loro","Hablante: Gerdel and Slocum, 1983.","","https://talkingdictionary.swarthmore.edu/paez/?initial=w&page=2&lang=es"
"12","f","1","fi’l","sustantivo","perdiz","Hablante: Gerdel and Slocum, 1983.","","https://talkingdictionary.swarthmore.edu/paez/?initial=f&page=1&lang=es"
"13","f","1","fytũ pagayú","sustantivo","carpintero","Hablante: Gerdel and Slocum, 1983.","","https://talkingdictionary.swarthmore.edu/paez/?initial=f&page=1&lang=es"
"14","w","1","wãwã","sustantivo","abeja, abejón","Hablante: Gerdel and Slocum, 1983.","","https://talkingdictionary.swarthmore.edu/paez/?initial=w&page=1&lang=es"
"15","m","1","menzucue","sustantivo","avispa","Hablante: Gerdel and Slocum, 1983.","","https://talkingdictionary.swarthmore.edu/paez/?initial=m&page=1&lang=es"
"16","f","1","fĩsh, fynej","sustantivo","mosca","Hablante: Gerdel and Slocum, 1983.","","https://talkingdictionary.swarthmore.edu/paez/?initial=f&page=1&lang=es"
"17","j","1","jimba apj","sustantivo","tábano","Hablante: Gerdel and Slocum, 1983.","","https://talkingdictionary.swarthmore.edu/paez/?initial=j&page=1&lang=es"
"18","t","1","ta’nda","sustantivo","cucarrón","Hablante: Gerdel and Slocum, 1983.","","https://talkingdictionary.swarthmore.edu/paez/?initial=t&page=1&lang=es"
"20","s","1","sa’te","sustantivo","cucaracha","Hablante: Gerdel and Slocum, 1983.","","https://talkingdictionary.swarthmore.edu/paez/?initial=s&page=1&lang=es"
"23","s","3","sme jme","sustantivo","mariposa","Hablante: Gerdel and Slocum, 1983.","","https://talkingdictionary.swarthmore.edu/paez/?initial=s&page=3&lang=es"
"24","p","1","pã’pã","sustantivo","pulga","Hablante: Gerdel and Slocum, 1983.","","https://talkingdictionary.swarthmore.edu/paez/?initial=p&page=1&lang=es"
"26","f","1","fytũu chica","sustantivo","comején","Hablante: Gerdel and Slocum, 1983.","","https://talkingdictionary.swarthmore.edu/paez/?initial=f&page=1&lang=es"
"27","w","2","wes","sustantivo","gusano","Hablante: Francy Yanet","https://talkingdictionary.swarthmore.edu/media/paez/aud/NasaYuwe_FrancyYaneth_23Jul2013_066gusano.mp3","https://talkingdictionary.swarthmore.edu/paez/?initial=w&page=2&lang=es"
"28","t","3","tupil","sustantivo","ciempiés","Hablante: Gerdel and Slocum, 1983.","","https://talkingdictionary.swarthmore.edu/paez/?initial=t&page=3&lang=es"
"29","t","3","tupa","sustantivo","araña","Hablante: Gerdel and Slocum, 1983.","","https://talkingdictionary.swarthmore.edu/paez/?initial=t&page=3&lang=es"
"30","s","1","shape","sustantivo","caracol","Hablante: Gerdel and Slocum, 1983.","","https://talkingdictionary.swarthmore.edu/paez/?initial=s&page=1&lang=es"
"33","w","1","wãcã","sustantivo","cangrejo","Hablante: Francy Yanet","https://talkingdictionary.swarthmore.edu/media/paez/aud/NasaYuwe_FrancyYaneth_23Jul2013_032cangrejo.mp3","https://talkingdictionary.swarthmore.edu/paez/?initial=w&page=1&lang=es"
"34","m","1","mish","sustantivo","gato","Hablante: Gerdel and Slocum, 1983.","","https://talkingdictionary.swarthmore.edu/paez/?initial=m&page=1&lang=es"
"38","j","1","jimba","sustantivo","caballo","Hablante: Francy Yanet","https://talkingdictionary.swarthmore.edu/media/paez/aud/NasaYuwe_FrancyYaneth_23Jul2013_013caballo.mp3","https://talkingdictionary.swarthmore.edu/paez/?initial=j&page=1&lang=es"
"41","p","3","piishá","sustantivo","oveja","Hablante: Francy Yanet","https://talkingdictionary.swarthmore.edu/media/paez/aud/NasaYuwe_FrancyYaneth_23Jul2013_039oveja.mp3","https://talkingdictionary.swarthmore.edu/paez/?initial=p&page=3&lang=es"
"42","s","2","shuma","sustantivo","ardilla","Hablante: Francy Yanet","https://talkingdictionary.swarthmore.edu/media/paez/aud/NasaYuwe_FrancyYaneth_23Jul2013_048ardilla.mp3","https://talkingdictionary.swarthmore.edu/paez/?initial=s&page=2&lang=es"
"46","ñ","1","ñu’py le’ch","sustantivo","agutí","Hablante: Gerdel and Slocum, 1983.","","https://talkingdictionary.swarthmore.edu/paez/?initial=%C3%B1&page=1&lang=es"
"47","ñ","1","ñu’py wala","sustantivo","paca, guagua","Hablante: Gerdel and Slocum, 1983.","","https://talkingdictionary.swarthmore.edu/paez/?initial=%C3%B1&page=1&lang=es"
"48","s","2","shita","sustantivo","armadillo","Hablante: Francy Yanet","https://talkingdictionary.swarthmore.edu/media/paez/aud/NasaYuwe_FrancyYaneth_23Jul2013_045armadillo.mp3","https://talkingdictionary.swarthmore.edu/paez/?initial=s&page=2&lang=es"
"49","t","2","tjuw","sustantivo","erizo, puerco espín","Hablante: Gerdel and Slocum, 1983.","","https://talkingdictionary.swarthmore.edu/paez/?initial=t&page=2&lang=es"
"52","t","4","tyiclli","sustantivo","tigrillo","Hablante: Francy Yanet","https://talkingdictionary.swarthmore.edu/media/paez/aud/NasaYuwe_FrancyYaneth_23Jul2013_052tigrillo.mp3","https://talkingdictionary.swarthmore.edu/paez/?initial=t&page=4&lang=es"
"53","s","2","shĩ’j","sustantivo","puma, león","Hablante: Gerdel and Slocum, 1983.","","https://talkingdictionary.swarthmore.edu/paez/?initial=s&page=2&lang=es"
"54","y","2","yu’alcu","sustantivo","nutria","Hablante: Gerdel and Slocum, 1983.","","https://talkingdictionary.swarthmore.edu/paez/?initial=y&page=2&lang=es"
"55","w","1","wãyãy, wẽyĩy","sustantivo","comadreja","Hablante: Francy Yanet","https://talkingdictionary.swarthmore.edu/media/paez/aud/NasaYuwe_FrancyYaneth_23Jul2013_077comadreja.mp3","https://talkingdictionary.swarthmore.edu/paez/?initial=w&page=1&lang=es"
