book,chapter,verse,spanish,nasa_yuwe
1CO,1,1,"Esta carta viene de parte de Pablo, llamado para ser un apóstol de Jesucristo, conforme a la voluntad de Dios, y de parte de nuestro hermano Sóstenes.","Adxa' Pablo yaaseth, Dxus peeygãhçxa pa'yate Jesukristo jxkaahnisa. Txã'wẽ yũuwa'ja's Dxusku txhitxhçxa nvxiht."
1CO,1,2,"Es enviada a la iglesia de Dios en Corinto, a aquellos que han sido justificados en Cristo Jesús, llamados para vivir en santidad, y a todos los que adoran al Señor Jesús en todas partes, el Señor de ellos y de nosotros.","Korinto çxhabte yakhthẽ'jwe'sxtxi weçxana fxi'jaçthu, txã'wẽy yakhthẽ'j Sosteneswa yuwe weçxaakaja'k. I'kwe'sxa' Kristo Jesus yakh txutemée fxi'zeya' utxaapa'ga Dxus luuçxi'kwe. Majũwe'sxwa kwe'sxtxi jxpe'jsa Jesukristo yasena kxsussa ũstxna txãawe'sx yã'jçxa ja'daçxah txajx tasxte yuuçxáa fxi'zekahnku Dxusa' pa'ya. Txãa Jesukristo' kwe'sx jxukaysatx jxpe'jsa'."
1CO,1,3,"Reciban gracia y paz de parte de Dios, nuestro Padre, y del Señor Jesucristo.",I'kwe'sxtxi' Dxusa' pu'çxhina vxite' kwe'sxtxi jxpe'jsa Jesukristowa. Txãa pa'ga Dxus yakhçxáa mfxi'zewe. Jesukristo pu'çxpa'ga Dxusa' kĩh yuhwa peejxmée jxukak pees
1CO,1,4,"Siempre le doy gracias a Dios por ustedes, y por la gracia que Dios les ha dado en Jesucristo.","Dxusa's weçxana nesthu yu' i'kwe'sx pa'gate, txã'wẽ Dxusa' i'kwe'sxtxi peeygãhçxa kĩh yuhwa peejxmée jxukak pees Jesukristo pu'çxpa'ga."
1CO,1,5,"Por medio de él ustedes han recibido riqueza en todas las cosas, en todo lo que dicen y en cada aspecto de lo que saben.","Txã'wẽ Kristo yakh fxi'zeya' utxaapa'ga, Dxusa' txajx dxi'pte kĩhtewa jxuka i'kwe'sx sxiigmée fxi'zewa'ja's jxukak ũs, Dxus yuwe's pta'sxwa'j ma'k yuu, meeçxa' maa isa pta'sxsatewa jiyuwa'j ma'k yuu nawa jxuka."
1CO,1,6,"De hecho, el testimonio de Cristo ha demostrado ser válido mediante la experiencia de ustedes,",Txãa pa'ga Kristo kaapiya'jni's i'kwe'sx ũuste kaavxya'ja'i'kwe.
1CO,1,7,a fin de que no pierdan ningún don espiritual mientras esperan la venida de nuestro Señor Jesucristo.,"Txã'wẽ Dxus pu'çxte', i'kwe'sxa' kĩhte yuhwa sxiigmée i'kwe txajx dxi'pte fxi'ze' Jesukristo kĩiwa'j ena's ũythasna."
1CO,1,8,"Él también les dará fortaleza hasta el final, a fin de que se mantengan rectos hasta el día del Señor Jesucristo.","Dxusa' txã'wẽ ewçxáa jxpe'jna nes yuuna nmeh entepkaçx, kxah Jesukristo kĩi ente' i'kwe'sxa' kĩhte yuhwa yuuwemeesa yuune'kwe."
1CO,1,9,"Dios es fiel, y fue quien los llamó a compartir en hermandad con su Hijo Jesucristo, nuestro Señor.",Dxusa' na'wẽ ewçxáa jxpe'jya' neeyũuk na' kxtey yuuna. Txã'wẽ ewçxáa jxpe'jya' íiçxáak txajx Nçxi'k Jesukristo yakh fxi'zeya' pa'ya i'kwe'sxtxi'. Dxus yakh fxi'zesawe'sx puutx puiina txuteni
1CO,1,10,"Hermanos y hermanas, les ruego en el nombre de nuestro Señor Jesucristo que estén en armonía y no divididos. Por el contrario, desarrollen una conducta y propósito de estar unidos.","Kwe'sxtxi jxpe'jsa Jesukristo dxi'pte yakhthẽ'jwe'sxtxi yu'kxpejeçthu, puutx ewteçxah puutx we'weçxa txutemée kxazíi ja'daçxah teeçxsa na'wẽçxaçxáa ew yajkxna fxi'zekahn."
1CO,1,11,"Porque de parte de Cloé, algunos me han dicho cosas de ustedes, mis hermanos y hermanas, me han dicho que hay discusiones entre ustedes.","Kloé yattewe'sxa' adxa's pta'sxtxi txã'wẽ i'kwe'sxa' puiina fxi'zena ũsta' jĩna, txãa pa'gath adx yakhthẽ'jwe'sxtxi txã'wẽ we'we'."
1CO,1,12,"Permítanme explicarles lo que quiero decir. Todos ustedes andan diciendo: “Yo sigo a Pablo”, o “Yo sigo a Apolo”, o “Yo sigo a Pedro”, o “Yo sigo a Cristo”.","I'kwe'sxa' teeçxsa na'wẽçxah fxiyfxiy we'wena ũsi'kwe: Maaíi yu', adxa' Pablo yakh u'jsath, naapkaçxha' vxite' Apolos yakh u'jsath. Vxite' Pedro yakh u'jsath, aça' vxiteíi yu' Kristo yakh u'jsath jĩna i'kwe we'we'."
1CO,1,13,¿Acaso Cristo está dividido? ¿Acaso murió Pablo en una cruz por ustedes? ¿Acaso ustedes fueron bautizados en el nombre de Pablo?,Nawa Kristo' ¿teeçx ahtewe'sx yakhçxáa fxi'zewa'jsaga yuuá'? ¿I'kwe'sx pa'gate Pabloga kluuste uuá'? Meeçxawa ¿i'kwe'sxa' Pablo yase's kxsusçxakwe yu'te bautisãyni yuuá'?
1CO,1,14,"Estoy agradecido con Dios porque yo no bauticé a ninguno de ustedes, excepto a Crispo y a Gayo,","Ewçxáa ne'tka i'kwe'sxtxi maa yuhtxwa yu'te bautisãymée, naasáa Krispo vxite' Gayo txãawe'sxçxáatxthu bautisãy."
1CO,1,15,así que nadie puede decir que fue bautizado en mi nombre.,Txãa pa'ga kim yuhwa txã'wẽ Pablo yase's kxsusçxa bautisãynith jĩya' ãjameetxna.
1CO,1,16,"(Oh, y también bauticé a la familia de Estéfanas, y aparte de ellos no recuerdo a ningún otro).","Vxite' Estefxanaswe'sxçxáatxthu bautisãy, meeçxa' vxitetx bautisãy wá'ntka nawa txãa yuutxi' yaaki'çmeeth."
1CO,1,17,"Pues Cristo no me envió a bautizar, sino a esparcir la buena noticia, y ni siquiera con sabiduría y elocuencia humana, de lo contrario la cruz de Cristo no tendría validez.","Kristo' adxa's bautisãyya' kaahme', naasáa kwe'sx ewte neeyũuwa'ja's pta'sxya'çxáak kaah. Nawa naa kiwetewe'sxa's jiyunisa yakhméek pta'sxkaah. Txã'wẽme', Kristo kluuste uuni's pta'sxnisa' e'skhẽ neeyũuwe'sxte. Nwe'weya' ãjawa'ja's Dxus pheu'jçxa nvxiitnisa"
1CO,1,18,"Porque el mensaje de la cruz no tiene sentido para los que están perdidos, pero es poder de Dios para nosotros, los que somos salvos.","Kristo' kwe'sx pa'gate kluuste uuk jĩna pta'sxni' kĩhwa seelpimeesa na'wẽ ne' pthũuse' vxituçxa nxus kiwete u'jwa'jsatxi'. Nawa Dxus yakh ũsya' u'jwa'jsa kwe'sx yuutxi' txã'wẽ pta'sxni' seena' wala seelpisa', kwe'sxtxi ewte nvxiitwa'jsa' naa pa'ga."
1CO,1,19,"Como dice la Escritura: “Yo destruiré la sabiduría del sabio, y desecharé el entendimiento de los inteligentes”.","Dxus librute we'weçxa': Ivxiitu'nja naa kiwetewe'sxçxá's jiyuni's, Sa' naa kiwetewe'sxçxá's jiyuni's kĩhte yuhwa selpiiwa'jmée nvxiitu'nja jĩ'k."
1CO,1,20,"¿Qué decir entonces de los sabios, de los escritores, de los filósofos de esta era?",Txã'wẽ' aça' naa kiwetewe'sxçxá's jiyuni' ¿kĩhte selpiikx? Kĩhtewa jxuka jiisa kaapiya'jsatha'w sũhsa' ¿mtee yuutxki? Naa kiwete kĩh ũsna txã'sna jxuka jiisathẽ'j ¿kĩh yuukx? Ãçxha' txã' ¿kĩhteçxá' selpiima'k? Naa kiwetewe'sxçxá's jiyunisa's kĩhtewa seelpimeek vxit Dxusa'.
1CO,1,21,"¿Acaso Dios ha convertido la sabiduría de este mundo en necedad? Puesto que Dios en su sabiduría no permitió que el mundo lo conociera por medio de su propia sabiduría, sino que su plan de gracia fue que por la necedad de la buena noticia fueran salvados los que creyeran en él.","Dxusa' jiyuk naa kiwetewe'sxçxá's jxuka jiyusa' Dxusa's jiyuya' ãjawa'jmeesatewa. Txãasak kĩhtewa jiimeeçxawa txã'sna ũusuh jxuka yajkxçxa txajx pta'sxni's wa'lmée jxpa'gateçxáa nwe'wewa'ja's vxit, makwe txajx pta'sxni' vxite yakh yu' seelpimée na'wẽtewa."
1CO,1,22,"Los judíos piden señales milagrosas, y los griegos buscan la sabiduría,","Judiuwe'sxa' cielujũ seena'sa kaavxya'ja'jni'stxi uy wẽje', naapkaçxha' griegowe'sxa' naa kiwete jiyunisa'stxi pakwé'."
1CO,1,23,"pero nuestro mensaje es Cristo crucificado, lo cual es ofensivo para los judíos y necedad para los extranjeros.","Nawa kwe'sxa' Kristo's kluuskhẽ ki'pçxa ikhniçxá'stha'w pta'sxi'. Judiuwe'sxa' txã'wẽ pta'sxni'stxi jxpuba', naapkaçxha' griegowe'sx yuutxi'sa' kĩhtewa seelpimée luuku we'weni na'wẽ ne' pthũuse'."
1CO,1,24,"Sin embargo, para los que son llamados por Dios, tanto judíos como extranjeros, Cristo es el poder y la sabiduría de Dios.","Nawa Dxus txhitxhnisa judiu vxite' griego txãawe'sx yakh yu', Kristo yuuçxáa nwe'wewa'jsa', nwe'wewa'ja's Dxus pheu'jçxa nvxiitnisa."
1CO,1,25,Pues la necedad de Dios es más sabia que nosotros; y la debilidad de Dios es más fuerte.,"Naa kiwete nasa jiisa ũstxna txãawe'sx yakh yu', Dxus jiimeesa na'wẽsaçxawa, txãawe'sxte jxthaakwe jiisa' Dxusa'. Aça' Dxus çxhãçxhameeçxa ãjasamée na'wẽsaçxawa, nasa naa kiwetewe'sxte jxthaakwe çxhãçxhasa'."
1CO,1,26,"Hermanos y hermanas, recuerden su llamado, y recuerden que este llamado no incluyó a muchos que son sabios, humanamente hablando, ni a muchos que son poderosos, así como tampoco a muchos que son importantes.","Yakhthẽ'jwe'sx, i'kwe'sxtxi Dxus txhitxhni's mjiyuwe. I'kwe'sxa' naa kiwetewe'sxa's yu' walamée jii i'kwe sa' çxhãçxhasawa kuhmée i'kwe, sa' jxtuhthesawa kuhmée i'kwe."
